name	stargazers_count	html_url
sdk-js	7643	https://github.com/unicity-astrid/sdk-js
osiris	4541	https://github.com/simplifaisoul/osiris
PilotDeck	3028	https://github.com/OpenBMB/PilotDeck
WechatOnCloud	2145	https://github.com/Gloridust/WechatOnCloud
skylight	2066	https://github.com/cpaczek/skylight
kimi-code	1922	https://github.com/MoonshotAI/kimi-code
butterbase	1375	https://github.com/butterbase-ai/butterbase
DeepSeek-GUI	1200	https://github.com/XingYu-Zhong/DeepSeek-GUI
infinite-canvas	1120	https://github.com/basketikun/infinite-canvas
bigset	1068	https://github.com/tinyfish-io/bigset
