name	stargazers_count	html_url
paperclip	20598	https://github.com/paperclipai/paperclip
vinext	6511	https://github.com/cloudflare/vinext
git-city	3607	https://github.com/srizzon/git-city
web-haptics	2124	https://github.com/lochie/web-haptics
Shadowbroker	2060	https://github.com/BigBodyCobain/Shadowbroker
SuperCmd	1268	https://github.com/SuperCmdLabs/SuperCmd
goey-toast	839	https://github.com/anl331/goey-toast
visual-json	773	https://github.com/vercel-labs/visual-json
metapi	682	https://github.com/cita-777/metapi
webreel	677	https://github.com/vercel-labs/webreel
