name	stargazers_count	html_url
m3e-canvas	3630	https://github.com/lnkiai/m3e-canvas
grok-bot-0.18-reconstructed	3486	https://github.com/b-nnett/grok-bot-0.18-reconstructed
OpenMausBot	2193	https://github.com/milind-soni/OpenMausBot
open-higgsfield	1380	https://github.com/wide-trace/open-higgsfield
cn	1168	https://github.com/shadcn-ui/cn
pdfcn	1120	https://github.com/shadcn-labs/pdfcn
breakscale	1057	https://github.com/xevrion/breakscale
berd	876	https://github.com/block/berd
blobatar	796	https://github.com/Alain00/blobatar
youtube-music	789	https://github.com/sohaibdevv/youtube-music
