name	stargazers_count	html_url
torlink	3389	https://github.com/baairon/torlink
gitfut	1896	https://github.com/Younesfdj/gitfut
cnfast	1093	https://github.com/aidenybai/cnfast
gorest-2d-animation-spritesheet-generator	1084	https://github.com/NO6KIKO/gorest-2d-animation-spritesheet-generator
webernetes	1013	https://github.com/ngrok/webernetes
pdfx	734	https://github.com/AlexandrosGounis/pdfx
OpenTag	661	https://github.com/CopilotKit/OpenTag
polymarket-weather-trading-bot	587	https://github.com/frecodecasti/polymarket-weather-trading-bot
sonic-topography	512	https://github.com/yin-yizhen/sonic-topography
subboost	480	https://github.com/SubBoost/subboost
