name	stargazers_count	html_url
paperclip	23246	https://github.com/paperclipai/paperclip
vinext	6722	https://github.com/cloudflare/vinext
git-city	3834	https://github.com/srizzon/git-city
Shadowbroker	2833	https://github.com/BigBodyCobain/Shadowbroker
web-haptics	2156	https://github.com/lochie/web-haptics
pi-autoresearch	1553	https://github.com/davebcn87/pi-autoresearch
visual-json	778	https://github.com/vercel-labs/visual-json
metapi	738	https://github.com/cita-777/metapi
webreel	690	https://github.com/vercel-labs/webreel
chartli	595	https://github.com/ahmadawais/chartli
