name	stargazers_count	html_url
openclaude	24536	https://github.com/Gitlawb/openclaude
claude-code	16971	https://github.com/claude-code-best/claude-code
gbrain	11557	https://github.com/garrytan/gbrain
emdash	10060	https://github.com/emdash-cms/emdash
claude-code-sourcemap	9027	https://github.com/ChinaSiro/claude-code-sourcemap
cc-haha	8717	https://github.com/NanmiCoder/cc-haha
design.md	8595	https://github.com/google-labs-code/design.md
free-code	8121	https://github.com/paoloanzn/free-code
open-multi-agent	5924	https://github.com/JackChen-me/open-multi-agent
boneyard	5244	https://github.com/0xGF/boneyard
