name	stargazers_count	html_url
decimen-optical-transfer	4532	https://github.com/bashalarmistalt/decimen-optical-transfer
bento	3636	https://github.com/nyblnet/bento
canvas-ui	3306	https://github.com/DavidHDev/canvas-ui
scriptc	2862	https://github.com/vercel-labs/scriptc
Amicro--Micro-transitions-	1366	https://github.com/Subhan-code/Amicro--Micro-transitions-
aval	1343	https://github.com/pixel-point/aval
yoinks	1243	https://github.com/pablostanley/yoinks
Aether-GUI	902	https://github.com/MatinSenPai/Aether-GUI
openreply	896	https://github.com/diwenne/openreply
address	814	https://github.com/daimon3332/address
