name	stargazers_count	html_url
deepseek-harness	213997	https://github.com/deepseek-ai/deepseek-harness
dsh-desktop	23953	https://github.com/anywhere-labs/dsh-desktop
dsh-web	7016	https://github.com/zhu1090093659/dsh-web
OpenBot	4372	https://github.com/CopilotKit/OpenBot
dsh-desktop	4319	https://github.com/dataelement/dsh-desktop
m3e-canvas	4273	https://github.com/lnkiai/m3e-canvas
anti-slop	4142	https://github.com/dmmulroy/anti-slop
cumora	3492	https://github.com/yetone/cumora
grok-bot-0.18-reconstructed	3490	https://github.com/b-nnett/grok-bot-0.18-reconstructed
dsh-market	3310	https://github.com/dsh-market/dsh-market
