name	stargazers_count	html_url
paperclip	20647	https://github.com/paperclipai/paperclip
vinext	6512	https://github.com/cloudflare/vinext
react-doctor	5685	https://github.com/millionco/react-doctor
portless	4832	https://github.com/vercel-labs/portless
agent-orchestrator	4225	https://github.com/ComposioHQ/agent-orchestrator
git-city	3608	https://github.com/srizzon/git-city
automaton	3349	https://github.com/Conway-Research/automaton
gstack	2379	https://github.com/garrytan/gstack
mission-control	2366	https://github.com/builderz-labs/mission-control
open-pencil	2260	https://github.com/open-pencil/open-pencil
