name	stargazers_count	html_url
paperclip	27982	https://github.com/paperclipai/paperclip
vinext	6871	https://github.com/cloudflare/vinext
git-city	4084	https://github.com/srizzon/git-city
Shadowbroker	3494	https://github.com/BigBodyCobain/Shadowbroker
Recordly	2325	https://github.com/webadderall/Recordly
web-haptics	2201	https://github.com/lochie/web-haptics
pi-autoresearch	2074	https://github.com/davebcn87/pi-autoresearch
metapi	869	https://github.com/cita-777/metapi
visual-json	787	https://github.com/vercel-labs/visual-json
webreel	712	https://github.com/vercel-labs/webreel
