name	stargazers_count	html_url
nanoclaw	15292	https://github.com/qwibitai/nanoclaw
react-doctor	4905	https://github.com/millionco/react-doctor
vinext	3884	https://github.com/cloudflare/vinext
ClawRouter	3630	https://github.com/BlockRunAI/ClawRouter
excalidraw-mcp	2763	https://github.com/excalidraw/excalidraw-mcp
tinyclaw	2723	https://github.com/TinyAGI/tinyclaw
portless	2674	https://github.com/vercel-labs/portless
LobsterAI	2663	https://github.com/netease-youdao/LobsterAI
agent-orchestrator	2600	https://github.com/ComposioHQ/agent-orchestrator
automaton	2591	https://github.com/Conway-Research/automaton
