name	stargazers_count	html_url
NemoClaw	15882	https://github.com/NVIDIA/NemoClaw
Crucix	6401	https://github.com/calesthio/Crucix
chrome-cdp-skill	2601	https://github.com/pasky/chrome-cdp-skill
clawpanel	1546	https://github.com/qingchencloud/clawpanel
hello-claw	1183	https://github.com/datawhalechina/hello-claw
alphaclaw	846	https://github.com/chrysb/alphaclaw
ai-rules	783	https://github.com/fjb040911/ai-rules
inav-configurator	755	https://github.com/INAVFlights/inav-configurator
web-access	720	https://github.com/eze-is/web-access
dr-claw	630	https://github.com/OpenLAIR/dr-claw
