name	stargazers_count	html_url
dsh-routing-suite	7137	https://github.com/yjh051108/dsh-routing-suite
dsh-anchored-standard	3817	https://github.com/xiaobright/dsh-anchored-standard
DLSS5-Swapper	3039	https://github.com/rakanki911/DLSS5-Swapper
scroll-craft	2188	https://github.com/nateherkai/scroll-craft
DeepSeek-Balance-Whale-Widget	1931	https://github.com/MeteorNOX/DeepSeek-Balance-Whale-Widget
PawWork_ZhuaZhua	1924	https://github.com/Player-YN/PawWork_ZhuaZhua
deploy-vercel	1667	https://github.com/vvxw/deploy-vercel
DSH-Desktop-EAC	1596	https://github.com/zouyuxuan122/DSH-Desktop-EAC
dsh-im	1230	https://github.com/xmanrui/dsh-im
northcinder	1212	https://github.com/cinderline/northcinder
