name	stargazers_count	html_url
awesome-gpt-image-2	5792	https://github.com/freestylefly/awesome-gpt-image-2
3DCellForge	2298	https://github.com/huangserva/3DCellForge
deepclaude	1926	https://github.com/aattaran/deepclaude
GuJumpgate	1397	https://github.com/FoundZiGu/GuJumpgate
smallcode	1069	https://github.com/Doorman11991/smallcode
reversa	911	https://github.com/sandeco/reversa
codex-startup-pressure-test-skill	835	https://github.com/Kappaemme-git/codex-startup-pressure-test-skill
mykonos-island-voxels	686	https://github.com/boona13/mykonos-island-voxels
GPTSession2CPAandSub2API	671	https://github.com/gtxx3600/GPTSession2CPAandSub2API
blooket-hacks	624	https://github.com/PrimeKeeper58/blooket-hacks
