name	stargazers_count	html_url
GuJumpgate	2812	https://github.com/FoundZiGu/GuJumpgate
3DCellForge	2373	https://github.com/huangserva/3DCellForge
deepclaude	1982	https://github.com/aattaran/deepclaude
smallcode	1492	https://github.com/Doorman11991/smallcode
get-shit-done-redux	1329	https://github.com/open-gsd/get-shit-done-redux
wechatpay	1036	https://github.com/run-liyi/wechatpay
GPTSession2CPAandSub2API	955	https://github.com/gtxx3600/GPTSession2CPAandSub2API
codex-startup-pressure-test-skill	867	https://github.com/Kappaemme-git/codex-startup-pressure-test-skill
mykonos-island-voxels	759	https://github.com/boona13/mykonos-island-voxels
stemdeck	665	https://github.com/stemdeckapp/stemdeck
