name	stargazers_count	html_url
ponytail	31578	https://github.com/DietrichGebert/ponytail
gsd-core	4338	https://github.com/open-gsd/gsd-core
baoyu-design	1451	https://github.com/JimLiu/baoyu-design
vibecode-pro-max-kit	921	https://github.com/withkynam/vibecode-pro-max-kit
skills	871	https://github.com/BuilderIO/skills
ffmpeg-webCLI	751	https://github.com/tejaswigowda/ffmpeg-webCLI
wha-spell-simulator	686	https://github.com/ytnrvdf/wha-spell-simulator
fanbox	622	https://github.com/alchaincyf/fanbox
xiaoer-videolab	523	https://github.com/Jane-xiaoer/xiaoer-videolab
ccglass	511	https://github.com/jianshuo/ccglass
