name	stargazers_count	html_url
ponytail	60128	https://github.com/DietrichGebert/ponytail
Cowart	3061	https://github.com/zhongerxin/Cowart
skills	2768	https://github.com/BuilderIO/skills
loop-engineering	2568	https://github.com/cobusgreyling/loop-engineering
baoyu-design	2021	https://github.com/JimLiu/baoyu-design
loop-library	1714	https://github.com/Forward-Future/loop-library
security-audit-skill	964	https://github.com/cloudflare/security-audit-skill
codexpro	942	https://github.com/rebel0789/codexpro
ffmpeg-webCLI	882	https://github.com/tejaswigowda/ffmpeg-webCLI
fanbox	813	https://github.com/alchaincyf/fanbox
