name	stargazers_count	html_url
Steam-Controller-Auto-Charge	325	https://github.com/FossPrime/Steam-Controller-Auto-Charge
docslight	117	https://github.com/ComPDFKit/docslight
md-reader	108	https://github.com/Neilooo/md-reader
deepseek-saas-starter-vue	95	https://github.com/Jeronasand/deepseek-saas-starter-vue
znote	90	https://github.com/helloxz/znote
rarayvision	87	https://github.com/dedin7766/rarayvision
musicist	76	https://github.com/zhuyao-opendeveloper/musicist
Knote	64	https://github.com/1661169091kiwi/Knote
easy-json	60	https://github.com/chengxy-nds/easy-json
eth-explorer	59	https://github.com/BLAZED-sh/eth-explorer
