name	stargazers_count	html_url
InduSecAgent	525	https://github.com/yuhuangerdi/InduSecAgent
uisfx	176	https://github.com/romainsimon/uisfx
compdf-generation	90	https://github.com/ComPDFKit/compdf-generation
pi-book	86	https://github.com/antinomie-lab/pi-book
vibecodingex	71	https://github.com/eticmedya/vibecodingex
knwldgbox	55	https://github.com/KNWLDGMEDIA/knwldgbox
ruoyi-drama	52	https://github.com/ageerle/ruoyi-drama
pichamber	49	https://github.com/AMagicPear/pichamber
question-bank	41	https://github.com/gygy-open/question-bank
louis	33	https://github.com/stuartromanek/louis
