name	stargazers_count	html_url
qssh	156	https://github.com/nanxiangxi/qssh
databuff	152	https://github.com/databufflabs/databuff
komari-theme-Glassmorphism	95	https://github.com/sanrokamlan-prog/komari-theme-Glassmorphism
md-reader	62	https://github.com/Neilooo/md-reader
easy-json	46	https://github.com/chengxy-nds/easy-json
node	46	https://github.com/slinxlink/node
NetSpeed-Dynamic	31	https://github.com/GEORGEWWWU/NetSpeed-Dynamic
webhomework2	30	https://github.com/D1385167/webhomework2
seedstone	27	https://github.com/titangmz/seedstone
Reframe	27	https://github.com/stefexec/Reframe
