name	stargazers_count	html_url
qssh	143	https://github.com/nanxiangxi/qssh
android-stream-desk	97	https://github.com/aniadev/android-stream-desk
Lychee-OS-Demo	46	https://github.com/BIANEN/Lychee-OS-Demo
pymss-desktop	46	https://github.com/pymss-project/pymss-desktop
databuff	42	https://github.com/databufflabs/databuff
mergeos	41	https://github.com/mergeos-bounties/mergeos
Catrace	39	https://github.com/lanxiuyun/Catrace
MeowMic	31	https://github.com/NanCheng-L/MeowMic
webhomework2	30	https://github.com/D1385167/webhomework2
komari-theme-Glassmorphism	27	https://github.com/sanrokamlan-prog/komari-theme-Glassmorphism
