name	stargazers_count	html_url
TripStar	1000	https://github.com/1sdv/TripStar
vibe.j2team.org	809	https://github.com/J2TEAM/vibe.j2team.org
AnGe-ClashBoard	346	https://github.com/liandu2024/AnGe-ClashBoard
xiaoye-ai	209	https://github.com/capybara-zy/xiaoye-ai
vort-ui	181	https://github.com/openvort/vort-ui
ruoyi-plus-vben5	143	https://github.com/imdap/ruoyi-plus-vben5
OpenClaw-Admin	130	https://github.com/itq5/OpenClaw-Admin
learn-opencode-agent	90	https://github.com/qqzhangyanhua/learn-opencode-agent
free-video-downloader	66	https://github.com/liyupi/free-video-downloader
WriterClaw	64	https://github.com/Malkielz/WriterClaw
