name	stargazers_count	html_url
dbx	1239	https://github.com/t8y2/dbx
tq-trading-agent	293	https://github.com/TQ-trade-agent/tq-trading-agent
intro-agentic-ai	114	https://github.com/riverscn/intro-agentic-ai
hermes-war-room	94	https://github.com/Naroh091/hermes-war-room
AIGC	83	https://github.com/huangguohui2002/AIGC
MasterDnsWeb	71	https://github.com/abolix/MasterDnsWeb
rag-visualization	40	https://github.com/wuhao2343/rag-visualization
portforge-app	37	https://github.com/portforge/portforge-app
mcp-chat	33	https://github.com/maile456/mcp-chat
shanshui-mingtang-fengshui-gis	34	https://github.com/limi124/shanshui-mingtang-fengshui-gis
