name	stargazers_count	html_url
mempalace	48781	https://github.com/MemPalace/mempalace
caveman	42279	https://github.com/JuliusBrussee/caveman
graphify	32061	https://github.com/safishamsi/graphify
colleague-skill	16051	https://github.com/titanwings/colleague-skill
nuwa-skill	13595	https://github.com/alchaincyf/nuwa-skill
OpenHarness	10721	https://github.com/HKUDS/OpenHarness
OpenMythos	6727	https://github.com/kyegomez/OpenMythos
turboquant_plus	6418	https://github.com/TheTom/turboquant_plus
khazix-skills	5698	https://github.com/KKKKhazix/khazix-skills
ai-agent-deep-dive	5583	https://github.com/tvytlx/ai-agent-deep-dive
