name	stargazers_count	html_url
colleague-skill	16501	https://github.com/titanwings/colleague-skill
nuwa-skill	14470	https://github.com/alchaincyf/nuwa-skill
lingbot-map	4458	https://github.com/Robbyant/lingbot-map
OmniVoice	4249	https://github.com/k2-fsa/OmniVoice
yourself-skill	2395	https://github.com/notdog1998/yourself-skill
see-through	2219	https://github.com/shitagaki-lab/see-through
JoyAI-Image	1951	https://github.com/jd-opensource/JoyAI-Image
harness-books	1865	https://github.com/wquguru/harness-books
gemma-tuner-multimodal	1385	https://github.com/mattmireles/gemma-tuner-multimodal
ex-skill	1327	https://github.com/perkfly/ex-skill
