name	stargazers_count	html_url
Unlimited-OCR	13619	https://github.com/baidu/Unlimited-OCR
omnigent	6636	https://github.com/omnigent-ai/omnigent
DeepSpec	6387	https://github.com/deepseek-ai/DeepSpec
oomwoo	3878	https://github.com/makerspet/oomwoo
exploitarium	3770	https://github.com/bikini/exploitarium
aur-malware-check	1973	https://github.com/lenucksi/aur-malware-check
Codex-5.5-codex-instruct-5.5	1594	https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5
tabfm	1516	https://github.com/google-research/tabfm
pixel2motion	1403	https://github.com/nolangz/pixel2motion
claude-real-video	1353	https://github.com/HUANGCHIHHUNGLeo/claude-real-video
