name	stargazers_count	html_url
defending-code-reference-harness	5977	https://github.com/anthropics/defending-code-reference-harness
MisoTTS	2852	https://github.com/MisoLabsAI/MisoTTS
Void-Tools-v2.0	2206	https://github.com/V0id-v2/Void-Tools-v2.0
ideogram4	2057	https://github.com/ideogram-oss/ideogram4
smartNode	1987	https://github.com/Tong89/smartNode
JoyAI-Echo	1571	https://github.com/jd-opensource/JoyAI-Echo
DeltaForce-OBS-Locker	1189	https://github.com/ace-trump-tech/DeltaForce-OBS-Locker
aimili-vpngate	1069	https://github.com/baoweise-bot/aimili-vpngate
reg-factory	810	https://github.com/tiantianGPU/reg-factory
pianke	725	https://github.com/zhaoyue4810/pianke
