name	stargazers_count	html_url
nuwa-skill	16865	https://github.com/alchaincyf/nuwa-skill
lingbot-map	5574	https://github.com/Robbyant/lingbot-map
copy-fail-CVE-2026-31431	2874	https://github.com/theori-io/copy-fail-CVE-2026-31431
MasterHttpRelayVPN	2089	https://github.com/masterking32/MasterHttpRelayVPN
OpenChronicle	2015	https://github.com/Einsia/OpenChronicle
mhr-cfw	1664	https://github.com/denuitt1/mhr-cfw
TileKernels	1411	https://github.com/deepseek-ai/TileKernels
gemma-tuner-multimodal	1402	https://github.com/mattmireles/gemma-tuner-multimodal
UZI-Skill	1345	https://github.com/wbh604/UZI-Skill
SNI-Spoofing	1248	https://github.com/patterniha/SNI-Spoofing
