name	stargazers_count	html_url
colleague-skill	14799	https://github.com/titanwings/colleague-skill
nuwa-skill	12237	https://github.com/alchaincyf/nuwa-skill
turboquant_plus	6324	https://github.com/TheTom/turboquant_plus
OmniVoice	3708	https://github.com/k2-fsa/OmniVoice
any-auto-register	3054	https://github.com/zc-zhangchen/any-auto-register
yourself-skill	2189	https://github.com/notdog1998/yourself-skill
see-through	2091	https://github.com/shitagaki-lab/see-through
ministack	2066	https://github.com/ministackorg/ministack
leak-check	2039	https://github.com/garinasset/leak-check
codex-console	1975	https://github.com/dou-jiang/codex-console
