name	stargazers_count	html_url
odysseus	75059	https://github.com/pewdiepie-archdaemon/odysseus
omnigent	4195	https://github.com/omnigent-ai/omnigent
Void-Tools-v2.0	2471	https://github.com/V0id-v2/Void-Tools-v2.0
ideogram4	2162	https://github.com/ideogram-oss/ideogram4
GordenPPTSkill	2153	https://github.com/GordenSun/GordenPPTSkill
gemini-web2api	1828	https://github.com/Sophomoresty/gemini-web2api
JoyAI-Echo	1614	https://github.com/jd-opensource/JoyAI-Echo
PixelRAG	1214	https://github.com/StarTrail-org/PixelRAG
memory-os	1172	https://github.com/ClaudioDrews/memory-os
aimili-vpngate	1126	https://github.com/baoweise-bot/aimili-vpngate
