name	stargazers_count	html_url
Void-Tools-v2.0	2461	https://github.com/V0id-v2/Void-Tools-v2.0
ideogram4	2162	https://github.com/ideogram-oss/ideogram4
JoyAI-Echo	1614	https://github.com/jd-opensource/JoyAI-Echo
aimili-vpngate	1126	https://github.com/baoweise-bot/aimili-vpngate
reg-factory	878	https://github.com/tiantianGPU/reg-factory
dots.tts	741	https://github.com/rednote-hilab/dots.tts
TripoSplat	735	https://github.com/VAST-AI-Research/TripoSplat
SCAIL-2	676	https://github.com/zai-org/SCAIL-2
qiaomu-goal-meta-skill	674	https://github.com/joeseesun/qiaomu-goal-meta-skill
ExamPass-Assistant	655	https://github.com/WUBING2023/ExamPass-Assistant
