name	stargazers_count	html_url
Unlimited-OCR	13930	https://github.com/baidu/Unlimited-OCR
DeepSpec	6526	https://github.com/deepseek-ai/DeepSpec
X4G	4018	https://github.com/x4gKing/X4G
exploitarium	3858	https://github.com/bikini/exploitarium
Codex-5.5-codex-instruct-5.5	1743	https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5
tabfm	1663	https://github.com/google-research/tabfm
claude-real-video	1474	https://github.com/HUANGCHIHHUNGLeo/claude-real-video
agent-apprenticeship	1311	https://github.com/Forsy-AI/agent-apprenticeship
shepherd	1304	https://github.com/shepherd-agents/shepherd
zhengxi-views	1245	https://github.com/lyra81604/zhengxi-views
