name	stargazers_count	html_url
nature-skills	8863	https://github.com/Yuan1z0825/nature-skills
mhr-cfw	3745	https://github.com/denuitt1/mhr-cfw
SoftwareCopyright-Skill	3213	https://github.com/Fokkyp/SoftwareCopyright-Skill
Meli-Action	2056	https://github.com/Kurdeus/Meli-Action
TileKernels	1535	https://github.com/deepseek-ai/TileKernels
MaaNTE	1409	https://github.com/1bananachicken/MaaNTE
rkn-block-checker	1273	https://github.com/MayersScott/rkn-block-checker
vggt-omega	1201	https://github.com/facebookresearch/vggt-omega
keep-codex-fast	1100	https://github.com/vibeforge1111/keep-codex-fast
Pixal3D	1079	https://github.com/TencentARC/Pixal3D
