name	stargazers_count	html_url
nanobot	21437	https://github.com/HKUDS/nanobot
knowledge-work-plugins	7531	https://github.com/anthropics/knowledge-work-plugins
lingbot-world	2889	https://github.com/Robbyant/lingbot-world
last30days-skill	2801	https://github.com/mvanhorn/last30days-skill
ClawWork	2605	https://github.com/HKUDS/ClawWork
DeepSeek-OCR-2	2292	https://github.com/deepseek-ai/DeepSeek-OCR-2
Trellis	2249	https://github.com/mindfold-ai/Trellis
dash	1675	https://github.com/agno-agi/dash
GLM-OCR	1654	https://github.com/zai-org/GLM-OCR
Qwen3-ASR	1553	https://github.com/QwenLM/Qwen3-ASR
