name	stargazers_count	html_url
odysseus	67058	https://github.com/pewdiepie-archdaemon/odysseus
defending-code-reference-harness	5676	https://github.com/anthropics/defending-code-reference-harness
PaperSpine	2818	https://github.com/WUBING2023/PaperSpine
MisoTTS	2636	https://github.com/MisoLabsAI/MisoTTS
smartNode	1993	https://github.com/Tong89/smartNode
GordenPPTSkill	1894	https://github.com/GordenSun/GordenPPTSkill
ideogram4	1885	https://github.com/ideogram-oss/ideogram4
Void-Tools-v2.0	1789	https://github.com/V0id-v2/Void-Tools-v2.0
gemini-web2api	1668	https://github.com/Sophomoresty/gemini-web2api
JoyAI-Echo	1355	https://github.com/jd-opensource/JoyAI-Echo
