port	total_count	req_count
wget	439	439
git	341	341
ffmpeg	337	337
cmake	289	289
coreutils	285	285
ImageMagick	253	253
nmap	249	249
htop	248	248
bash	245	245
yt-dlp	239	239
curl	221	221
automake	211	211
autoconf	210	210
jq	210	210
rsync	208	208
tree	181	181
gawk	181	181
go	176	176
pkgconfig	170	170
unrar	166	166
inetutils	165	165
gnupg2	164	164
exiftool	161	161
pandoc	156	156
tmux	154	154
grep	153	153
openssh	151	151
gsed	151	151
findutils	145	145
xorg-server	144	144
gmake	144	144
p7zip	143	143
bash-completion	136	136
dos2unix	135	135
rlwrap	133	133
vim	132	132
ripgrep	131	131
graphviz	127	127
ghostscript	126	126
smartmontools	123	123
gh	122	122
ninja	120	120
openssl	116	116
cargo	115	115
aspell-dict-en	114	114
bison	113	113
gnutar	112	112
glib2	109	109
rust	109	109
poppler	109	109
lynx	109	109
perl5	108	108
watch	107	107
iperf3	106	106
sqlite3-tcl	105	105
python311	104	104
meson	103	103
emacs	103	103
python313	101	101
gnuplot	101	101
python312	100	100
fzf	99	99
aspell	95	95
port_cutleaves	95	95
tk	94	94
sqlite3	94	94
mtr	91	91
zsh	90	90
py-pip	90	90
emacs-app	89	89
neofetch	88	88
subversion	88	88
cctools	87	87
libtool	87	87
texlive-latex-extra	86	86
gzip	85	85
fd	85	85
py312-pip	84	84
tesseract-eng	82	82
bat	81	81
texlive	81	81
qemu	81	81
nano	81	81
mc	81	81
neovim	80	80
libsdl2	79	79
openssl3	78	78
boost	78	78
lzip	78	78
pstree	77	77
py313-pip	77	77
youtube-dl	77	77
uv	76	76
xz	76	76
texinfo	75	75
python310	75	75
libxml2	74	74
zstd	74	74
OpenBLAS	74	74
python314	74	74
