port	total_count	req_count
wget	440	440
git	363	363
ffmpeg	349	349
cmake	303	303
coreutils	292	292
htop	256	256
ImageMagick	250	250
nmap	249	249
bash	240	240
yt-dlp	238	238
curl	227	227
jq	216	216
rsync	211	211
autoconf	207	207
automake	205	205
tree	188	188
gawk	187	187
go	176	176
pkgconfig	175	175
unrar	167	167
gnupg2	166	166
inetutils	164	164
tmux	163	163
exiftool	159	159
gsed	155	155
grep	155	155
openssh	152	152
findutils	147	147
pandoc	147	147
xorg-server	145	145
gmake	143	143
p7zip	141	141
rlwrap	140	140
dos2unix	139	139
vim	133	133
ripgrep	130	130
bash-completion	128	128
ninja	127	127
graphviz	123	123
ghostscript	122	122
openssl	122	122
cargo	122	122
gh	121	121
smartmontools	118	118
aspell-dict-en	117	117
rust	116	116
lynx	114	114
emacs	110	110
bison	110	110
iperf3	109	109
glib2	108	108
sqlite3-tcl	107	107
watch	107	107
python312	107	107
gnutar	106	106
python313	104	104
perl5	104	104
gnuplot	104	104
poppler	103	103
fzf	102	102
python311	102	102
port_cutleaves	101	101
zsh	99	99
meson	98	98
sqlite3	96	96
py-pip	95	95
aspell	95	95
tk	94	94
mtr	94	94
emacs-app	92	92
subversion	92	92
texlive	91	91
py312-pip	91	91
libtool	90	90
cctools	90	90
neofetch	89	89
gzip	89	89
py313-pip	86	86
youtube-dl	86	86
mc	85	85
qemu	83	83
OpenBLAS	83	83
fd	82	82
lzip	81	81
tesseract-eng	80	80
openssl3	80	80
texlive-latex-extra	80	80
texinfo	80	80
bat	79	79
libsdl2	79	79
nano	78	78
python39	78	78
neovim	78	78
pwgen	77	77
xz	77	77
pstree	77	77
boost	76	76
tcl	75	75
docker	75	75
nasm	75	75
