port	total_count	req_count
wget	434	434
git	344	344
ffmpeg	334	334
cmake	292	292
coreutils	286	286
htop	246	246
nmap	246	246
ImageMagick	245	245
bash	243	243
yt-dlp	243	243
curl	232	232
rsync	212	212
autoconf	209	209
automake	208	208
jq	207	207
tree	190	190
go	186	186
gawk	186	186
pkgconfig	175	175
gnupg2	172	172
inetutils	168	168
exiftool	165	165
grep	164	164
unrar	160	160
tmux	157	157
pandoc	153	153
gmake	152	152
gsed	151	151
openssh	150	150
findutils	147	147
p7zip	140	140
ripgrep	137	137
dos2unix	136	136
xorg-server	136	136
rlwrap	135	135
bash-completion	133	133
ninja	132	132
smartmontools	130	130
graphviz	128	128
gh	127	127
vim	127	127
ghostscript	126	126
cargo	123	123
rust	122	122
lynx	119	119
aspell-dict-en	118	118
openssl	117	117
glib2	117	117
poppler	115	115
watch	115	115
bison	113	113
fzf	112	112
emacs	112	112
perl5	110	110
meson	110	110
gnutar	109	109
iperf3	106	106
python311	104	104
sqlite3	101	101
python313	100	100
zsh	97	97
gnuplot	97	97
aspell	97	97
tk	97	97
python312	94	94
mtr	91	91
port_cutleaves	91	91
cctools	89	89
texlive-latex-extra	89	89
subversion	89	89
gzip	89	89
python314	88	88
emacs-app	88	88
fd	87	87
nasm	87	87
neovim	86	86
libtool	85	85
nano	85	85
libsdl2	85	85
lzip	85	85
uv	85	85
tesseract-eng	84	84
openssl3	83	83
bat	83	83
qemu	82	82
py-pip	82	82
neofetch	81	81
tcl	80	80
texinfo	80	80
texlive	80	80
xz	79	79
util-linux	78	78
mc	78	78
boost	78	78
gmp	77	77
pv	77	77
shellcheck	76	76
py312-pip	76	76
pstree	75	75
readline	75	75
