port	total_count	req_count
wget	437	437
git	344	344
ffmpeg	339	339
cmake	294	294
coreutils	284	284
ImageMagick	254	254
nmap	249	249
bash	249	249
yt-dlp	248	248
htop	246	246
curl	227	227
jq	213	213
autoconf	212	212
automake	211	211
rsync	201	201
gawk	189	189
go	186	186
tree	181	181
inetutils	174	174
pkgconfig	172	172
gnupg2	166	166
unrar	165	165
grep	159	159
tmux	159	159
gsed	156	156
exiftool	155	155
openssh	153	153
pandoc	150	150
gmake	149	149
findutils	146	146
xorg-server	142	142
dos2unix	142	142
rlwrap	141	141
p7zip	140	140
bash-completion	139	139
ripgrep	133	133
vim	131	131
smartmontools	128	128
ghostscript	127	127
ninja	124	124
graphviz	123	123
gh	122	122
openssl	122	122
bison	119	119
aspell-dict-en	117	117
poppler	116	116
cargo	116	116
glib2	114	114
rust	112	112
lynx	112	112
watch	112	112
fzf	112	112
gnutar	111	111
iperf3	111	111
emacs	110	110
python311	107	107
perl5	107	107
sqlite3-tcl	105	105
python313	105	105
meson	104	104
python312	103	103
gnuplot	103	103
tk	100	100
aspell	97	97
port_cutleaves	95	95
mtr	95	95
sqlite3	95	95
cctools	94	94
zsh	93	93
libtool	91	91
texlive-latex-extra	89	89
subversion	89	89
emacs-app	88	88
py-pip	87	87
libsdl2	87	87
fd	87	87
neofetch	86	86
nano	85	85
gzip	85	85
qemu	85	85
bat	85	85
neovim	84	84
openssl3	84	84
tesseract-eng	84	84
lzip	84	84
py312-pip	84	84
mc	84	84
texinfo	82	82
pstree	80	80
boost	80	80
py313-pip	79	79
texlive	79	79
nasm	79	79
zstd	79	79
python310	78	78
tcl	78	78
python314	78	78
youtube-dl	77	77
uv	77	77
libxml2	76	76
