port	total_count	req_count
wget	440	440
git	366	366
ffmpeg	349	349
cmake	302	302
coreutils	294	294
htop	254	254
ImageMagick	249	249
nmap	247	247
bash	245	245
yt-dlp	235	235
curl	230	230
jq	216	216
rsync	210	210
automake	209	209
autoconf	208	208
gawk	191	191
tree	186	186
go	177	177
pkgconfig	175	175
gnupg2	168	168
unrar	168	168
tmux	164	164
inetutils	162	162
exiftool	161	161
gsed	159	159
grep	159	159
openssh	152	152
pandoc	149	149
findutils	148	148
gmake	146	146
xorg-server	145	145
dos2unix	143	143
rlwrap	140	140
p7zip	140	140
ripgrep	133	133
vim	132	132
bash-completion	131	131
ninja	126	126
graphviz	125	125
gh	124	124
openssl	124	124
ghostscript	123	123
cargo	122	122
smartmontools	121	121
aspell-dict-en	119	119
rust	118	118
lynx	114	114
emacs	110	110
python312	109	109
glib2	109	109
gnutar	109	109
bison	109	109
python313	107	107
iperf3	107	107
watch	106	106
perl5	106	106
sqlite3-tcl	106	106
python311	105	105
fzf	105	105
gnuplot	104	104
poppler	104	104
port_cutleaves	102	102
zsh	101	101
meson	98	98
sqlite3	98	98
aspell	97	97
py-pip	96	96
tk	95	95
emacs-app	94	94
subversion	93	93
mtr	93	93
texlive	91	91
cctools	91	91
py312-pip	91	91
gzip	90	90
libtool	90	90
py313-pip	88	88
neofetch	86	86
qemu	84	84
mc	84	84
fd	83	83
OpenBLAS	82	82
youtube-dl	82	82
texlive-latex-extra	82	82
lzip	82	82
tesseract-eng	80	80
libsdl2	80	80
bat	80	80
neovim	79	79
nano	79	79
xz	78	78
openssl3	78	78
texinfo	78	78
python39	77	77
pstree	77	77
pwgen	77	77
boost	76	76
tcl	76	76
7zip	75	75
nasm	75	75
