port	total_count	req_count
wget	447	447
git	366	366
ffmpeg	345	345
cmake	303	303
coreutils	294	294
htop	254	254
ImageMagick	254	254
bash	250	250
nmap	244	244
yt-dlp	235	235
curl	229	229
jq	213	213
automake	208	208
rsync	208	208
autoconf	207	207
gawk	191	191
tree	187	187
go	180	180
pkgconfig	178	178
unrar	172	172
gnupg2	167	167
inetutils	166	166
tmux	160	160
exiftool	160	160
grep	158	158
gsed	157	157
pandoc	153	153
openssh	151	151
gmake	147	147
findutils	147	147
dos2unix	146	146
rlwrap	145	145
xorg-server	145	145
p7zip	138	138
ripgrep	135	135
vim	130	130
bash-completion	130	130
ninja	128	128
gh	123	123
graphviz	123	123
ghostscript	122	122
openssl	122	122
cargo	120	120
aspell-dict-en	119	119
smartmontools	117	117
rust	115	115
lynx	114	114
gnutar	111	111
emacs	111	111
bison	110	110
sqlite3-tcl	110	110
python313	109	109
poppler	109	109
gnuplot	108	108
fzf	108	108
python312	108	108
perl5	107	107
glib2	106	106
iperf3	106	106
python311	106	106
watch	102	102
meson	101	101
zsh	100	100
port_cutleaves	100	100
aspell	98	98
tk	97	97
py-pip	96	96
subversion	96	96
sqlite3	95	95
emacs-app	94	94
mtr	93	93
cctools	90	90
texlive	90	90
gzip	89	89
libtool	89	89
py312-pip	89	89
py313-pip	88	88
neofetch	86	86
texlive-latex-extra	85	85
mc	85	85
neovim	84	84
fd	84	84
OpenBLAS	83	83
lzip	83	83
qemu	82	82
bat	81	81
tesseract-eng	80	80
nano	80	80
libsdl2	80	80
youtube-dl	79	79
texinfo	79	79
openssl3	78	78
pstree	77	77
python310	77	77
tcl	77	77
7zip	76	76
pv	76	76
xz	76	76
boost	76	76
nasm	76	76
