port	total_count	req_count
wget	443	443
git	365	365
ffmpeg	350	350
cmake	291	291
coreutils	276	276
nmap	256	256
ImageMagick	253	253
htop	252	252
yt-dlp	246	246
bash	238	238
curl	228	228
jq	216	216
rsync	203	203
autoconf	198	198
automake	195	195
tree	185	185
gawk	183	183
go	178	178
unrar	172	172
pkgconfig	171	171
tmux	165	165
gnupg2	162	162
inetutils	161	161
grep	155	155
exiftool	155	155
pandoc	154	154
openssh	151	151
gsed	150	150
p7zip	146	146
findutils	141	141
rlwrap	141	141
xorg-server	140	140
gmake	136	136
dos2unix	134	134
graphviz	128	128
bash-completion	127	127
vim	125	125
cargo	122	122
ghostscript	121	121
ripgrep	120	120
openssl	120	120
gh	119	119
ninja	118	118
smartmontools	118	118
aspell-dict-en	115	115
rust	111	111
bison	110	110
poppler	109	109
glib2	109	109
lynx	108	108
python312	107	107
iperf3	107	107
emacs	106	106
perl5	106	106
gnutar	105	105
watch	105	105
python311	103	103
fzf	103	103
python313	102	102
sqlite3-tcl	102	102
gnuplot	101	101
zsh	99	99
texlive	98	98
aspell	98	98
meson	94	94
tk	92	92
mc	91	91
subversion	91	91
emacs-app	88	88
sqlite3	88	88
port_cutleaves	88	88
py312-pip	87	87
py-pip	87	87
texlive-latex-extra	87	87
mtr	87	87
py313-pip	87	87
cctools	87	87
gzip	85	85
qemu	84	84
libtool	83	83
OpenBLAS	83	83
youtube-dl	83	83
neofetch	83	83
texinfo	82	82
fd	81	81
nano	80	80
neovim	80	80
lzip	79	79
tesseract-eng	79	79
openssl3	79	79
pstree	77	77
libsdl2	77	77
bat	76	76
nasm	76	76
ccache	75	75
python310	75	75
boost	74	74
pwgen	74	74
pv	73	73
py311-pip	73	73
