port	total_count	req_count
wget	438	438
git	346	346
ffmpeg	344	344
cmake	291	291
coreutils	284	284
ImageMagick	252	252
nmap	250	250
bash	250	250
htop	249	249
yt-dlp	245	245
curl	228	228
jq	212	212
automake	212	212
autoconf	211	211
rsync	205	205
gawk	190	190
go	182	182
tree	176	176
inetutils	174	174
pkgconfig	173	173
gnupg2	166	166
unrar	163	163
grep	160	160
gsed	156	156
tmux	155	155
exiftool	155	155
openssh	154	154
gmake	149	149
pandoc	148	148
findutils	146	146
xorg-server	142	142
rlwrap	141	141
dos2unix	139	139
p7zip	138	138
bash-completion	138	138
vim	131	131
ripgrep	130	130
smartmontools	130	130
ghostscript	128	128
graphviz	127	127
gh	123	123
openssl	122	122
ninja	120	120
bison	119	119
poppler	118	118
aspell-dict-en	116	116
cargo	115	115
glib2	114	114
rust	112	112
lynx	112	112
emacs	111	111
iperf3	111	111
gnutar	111	111
perl5	109	109
fzf	109	109
watch	108	108
sqlite3-tcl	107	107
meson	104	104
python313	104	104
python311	104	104
gnuplot	103	103
python312	102	102
tk	100	100
sqlite3	97	97
aspell	96	96
mtr	95	95
cctools	94	94
libtool	93	93
port_cutleaves	93	93
zsh	91	91
py-pip	89	89
texlive-latex-extra	88	88
emacs-app	88	88
libsdl2	88	88
subversion	87	87
neofetch	87	87
tesseract-eng	87	87
mc	86	86
openssl3	86	86
py312-pip	85	85
gzip	84	84
nano	84	84
fd	84	84
lzip	84	84
texinfo	83	83
bat	83	83
neovim	81	81
qemu	81	81
boost	80	80
zstd	79	79
pstree	79	79
nasm	79	79
texlive	79	79
tcl	78	78
libxml2	78	78
py313-pip	78	78
python310	78	78
python314	78	78
uv	77	77
xz	76	76
