port	total_count	req_count
wget	431	431
git	344	344
ffmpeg	330	330
cmake	297	297
coreutils	275	275
htop	247	247
yt-dlp	245	245
nmap	243	243
bash	240	240
ImageMagick	236	236
curl	230	230
autoconf	210	210
rsync	209	209
automake	208	208
jq	206	206
go	190	190
tree	186	186
gawk	178	178
pkgconfig	173	173
gnupg2	166	166
inetutils	166	166
exiftool	159	159
tmux	157	157
grep	157	157
unrar	153	153
gmake	152	152
pandoc	151	151
openssh	148	148
gsed	147	147
p7zip	140	140
findutils	139	139
xorg-server	139	139
rlwrap	136	136
ninja	135	135
ripgrep	133	133
bash-completion	130	130
ghostscript	130	130
dos2unix	130	130
gh	128	128
graphviz	127	127
smartmontools	126	126
cargo	126	126
rust	125	125
vim	124	124
openssl	122	122
poppler	120	120
meson	117	117
aspell-dict-en	116	116
bison	116	116
glib2	115	115
lynx	114	114
watch	113	113
fzf	110	110
perl5	107	107
emacs	107	107
gnutar	107	107
python311	106	106
iperf3	104	104
sqlite3	103	103
tk	102	102
python313	98	98
python312	97	97
gnuplot	96	96
aspell	96	96
zsh	92	92
mtr	90	90
cctools	89	89
subversion	89	89
port_cutleaves	88	88
libsdl2	88	88
emacs-app	88	88
python314	88	88
uv	87	87
nasm	87	87
lzip	87	87
libtool	86	86
texlive-latex-extra	85	85
gzip	85	85
neovim	85	85
fd	84	84
tesseract-eng	83	83
py-pip	83	83
bat	83	83
openssl3	83	83
texinfo	82	82
tcl	82	82
neofetch	81	81
xz	80	80
nano	80	80
libxml2	78	78
qemu	78	78
boost	78	78
texlive	78	78
py312-pip	78	78
gmp	78	78
tesseract	77	77
readline	77	77
parallel	76	76
py313-pip	75	75
mc	74	74
