port	total_count	req_count
wget	432	432
git	349	349
ffmpeg	329	329
coreutils	289	289
cmake	288	288
htop	248	248
ImageMagick	243	243
nmap	243	243
yt-dlp	240	240
bash	240	240
curl	228	228
autoconf	210	210
automake	210	210
jq	205	205
rsync	205	205
tree	184	184
go	183	183
gawk	182	182
pkgconfig	174	174
gnupg2	170	170
inetutils	162	162
grep	160	160
tmux	157	157
unrar	157	157
exiftool	156	156
gsed	155	155
gmake	154	154
pandoc	153	153
openssh	149	149
findutils	144	144
p7zip	139	139
xorg-server	138	138
dos2unix	137	137
rlwrap	135	135
ripgrep	133	133
bash-completion	132	132
vim	130	130
smartmontools	129	129
ninja	128	128
graphviz	127	127
ghostscript	124	124
openssl	121	121
gh	121	121
aspell-dict-en	119	119
cargo	118	118
lynx	117	117
poppler	116	116
glib2	115	115
bison	114	114
rust	114	114
iperf3	111	111
fzf	109	109
emacs	109	109
gnutar	109	109
meson	109	109
watch	109	109
perl5	108	108
python311	107	107
sqlite3	101	101
python313	99	99
gnuplot	98	98
aspell	98	98
tk	98	98
zsh	95	95
python312	94	94
mtr	92	92
nano	90	90
subversion	89	89
cctools	89	89
port_cutleaves	88	88
tesseract-eng	87	87
libtool	87	87
emacs-app	87	87
fd	86	86
texlive-latex-extra	86	86
libsdl2	85	85
python314	85	85
py-pip	85	85
neovim	85	85
gzip	85	85
lzip	84	84
neofetch	84	84
uv	83	83
bat	83	83
nasm	82	82
mc	81	81
qemu	81	81
xz	81	81
texlive	80	80
zstd	80	80
tcl	80	80
openssl3	79	79
util-linux	79	79
boost	78	78
pv	78	78
texinfo	78	78
gmp	77	77
pstree	76	76
shellcheck	76	76
py312-pip	76	76
