port	total_count	req_count
wget	432	432
git	344	344
ffmpeg	331	331
cmake	293	293
coreutils	283	283
htop	246	246
nmap	245	245
ImageMagick	243	243
bash	241	241
yt-dlp	241	241
curl	230	230
rsync	211	211
automake	209	209
autoconf	209	209
jq	207	207
tree	190	190
gawk	186	186
go	185	185
pkgconfig	176	176
gnupg2	170	170
inetutils	167	167
grep	165	165
exiftool	164	164
unrar	161	161
tmux	157	157
pandoc	153	153
openssh	151	151
gmake	151	151
gsed	150	150
findutils	145	145
p7zip	140	140
ripgrep	137	137
xorg-server	136	136
dos2unix	136	136
rlwrap	135	135
bash-completion	133	133
ninja	132	132
smartmontools	130	130
graphviz	129	129
gh	127	127
vim	126	126
ghostscript	125	125
cargo	123	123
rust	121	121
lynx	120	120
aspell-dict-en	117	117
openssl	116	116
poppler	116	116
watch	115	115
glib2	115	115
bison	112	112
emacs	112	112
perl5	111	111
fzf	111	111
meson	110	110
gnutar	108	108
iperf3	106	106
python311	103	103
sqlite3	100	100
python313	98	98
gnuplot	97	97
zsh	97	97
tk	97	97
aspell	96	96
python312	93	93
mtr	91	91
port_cutleaves	91	91
cctools	90	90
subversion	89	89
emacs-app	89	89
nasm	88	88
gzip	88	88
python314	88	88
fd	87	87
texlive-latex-extra	87	87
neovim	86	86
libtool	86	86
nano	85	85
lzip	85	85
libsdl2	85	85
uv	84	84
tesseract-eng	84	84
py-pip	83	83
bat	83	83
openssl3	82	82
qemu	81	81
neofetch	81	81
tcl	80	80
mc	79	79
xz	79	79
texinfo	79	79
texlive	79	79
pv	77	77
util-linux	77	77
boost	77	77
shellcheck	76	76
gmp	76	76
youtube-dl	75	75
py312-pip	75	75
readline	75	75
