port	total_count	req_count
wget	438	438
git	357	357
ffmpeg	348	348
cmake	291	291
coreutils	279	279
nmap	252	252
ImageMagick	251	251
htop	248	248
yt-dlp	247	247
bash	239	239
curl	221	221
jq	210	210
rsync	199	199
autoconf	196	196
automake	194	194
gawk	184	184
tree	182	182
unrar	173	173
go	173	173
pkgconfig	169	169
gnupg2	163	163
tmux	163	163
inetutils	162	162
grep	154	154
exiftool	153	153
pandoc	151	151
openssh	150	150
gsed	149	149
p7zip	144	144
findutils	141	141
xorg-server	139	139
rlwrap	138	138
gmake	136	136
dos2unix	132	132
graphviz	125	125
bash-completion	125	125
vim	124	124
ripgrep	123	123
cargo	120	120
gh	120	120
ninja	119	119
openssl	118	118
smartmontools	117	117
ghostscript	116	116
aspell-dict-en	114	114
glib2	110	110
rust	110	110
gnutar	109	109
iperf3	109	109
perl5	107	107
watch	106	106
bison	106	106
python312	105	105
lynx	105	105
poppler	104	104
emacs	104	104
python311	103	103
fzf	102	102
python313	100	100
gnuplot	99	99
sqlite3-tcl	99	99
zsh	98	98
aspell	98	98
texlive	97	97
sqlite3	93	93
meson	93	93
py-pip	92	92
port_cutleaves	90	90
tk	89	89
emacs-app	89	89
subversion	89	89
cctools	88	88
mtr	88	88
youtube-dl	87	87
mc	86	86
qemu	84	84
py312-pip	84	84
gzip	84	84
OpenBLAS	84	84
py313-pip	84	84
libtool	83	83
texlive-latex-extra	82	82
neofetch	80	80
nano	80	80
lzip	79	79
tesseract-eng	79	79
fd	78	78
pstree	78	78
openssl3	78	78
texinfo	78	78
neovim	77	77
docker	75	75
libsdl2	75	75
boost	74	74
xz	74	74
util-linux	74	74
nasm	74	74
bat	74	74
python310	73	73
py311-pip	73	73
