port	total_count	req_count
wget	433	433
git	348	348
ffmpeg	328	328
cmake	293	293
coreutils	275	275
yt-dlp	245	245
htop	245	245
nmap	240	240
bash	236	236
curl	232	232
ImageMagick	231	231
rsync	210	210
autoconf	209	209
automake	205	205
jq	204	204
go	186	186
tree	183	183
gawk	175	175
pkgconfig	175	175
inetutils	163	163
gnupg2	163	163
exiftool	162	162
tmux	158	158
grep	153	153
openssh	151	151
unrar	150	150
pandoc	150	150
gmake	148	148
gsed	145	145
xorg-server	140	140
p7zip	136	136
findutils	136	136
rlwrap	135	135
ripgrep	134	134
ninja	132	132
ghostscript	128	128
graphviz	128	128
bash-completion	127	127
dos2unix	126	126
smartmontools	125	125
gh	125	125
openssl	125	125
cargo	124	124
rust	122	122
vim	122	122
poppler	119	119
aspell-dict-en	116	116
bison	113	113
meson	113	113
glib2	111	111
lynx	111	111
watch	111	111
fzf	110	110
perl5	107	107
sqlite3	105	105
gnutar	105	105
python311	103	103
tk	103	103
emacs	102	102
iperf3	101	101
gnuplot	100	100
aspell	97	97
python314	94	94
zsh	93	93
python313	93	93
python312	93	93
mtr	89	89
port_cutleaves	88	88
subversion	87	87
cctools	87	87
libsdl2	86	86
libtool	86	86
neovim	86	86
uv	85	85
py-pip	85	85
texlive-latex-extra	85	85
nasm	84	84
openssl3	84	84
bat	83	83
fd	83	83
emacs-app	83	83
lzip	82	82
xz	82	82
tcl	82	82
gzip	81	81
tesseract-eng	81	81
nano	79	79
texinfo	79	79
py312-pip	79	79
neofetch	78	78
texlive	78	78
readline	77	77
qemu	77	77
gmp	76	76
boost	76	76
libxml2	76	76
tesseract	75	75
parallel	75	75
mc	74	74
qpdf	73	73
