port	total_count	req_count
wget	437	437
git	347	347
ffmpeg	341	341
cmake	302	302
coreutils	283	283
ImageMagick	256	256
bash	249	249
nmap	249	249
yt-dlp	247	247
htop	245	245
curl	230	230
jq	213	213
autoconf	210	210
automake	209	209
rsync	204	204
gawk	194	194
go	185	185
tree	181	181
inetutils	175	175
pkgconfig	174	174
gnupg2	167	167
unrar	166	166
tmux	161	161
grep	161	161
gsed	158	158
exiftool	156	156
openssh	154	154
pandoc	154	154
gmake	152	152
findutils	146	146
xorg-server	145	145
rlwrap	144	144
p7zip	143	143
dos2unix	140	140
bash-completion	138	138
vim	134	134
ripgrep	133	133
ghostscript	129	129
smartmontools	127	127
graphviz	125	125
ninja	124	124
gh	121	121
openssl	120	120
bison	119	119
aspell-dict-en	118	118
poppler	117	117
cargo	115	115
glib2	114	114
lynx	113	113
fzf	113	113
watch	113	113
gnutar	112	112
emacs	112	112
rust	111	111
sqlite3-tcl	108	108
python311	108	108
iperf3	108	108
perl5	107	107
meson	106	106
gnuplot	105	105
python313	103	103
tk	102	102
python312	101	101
aspell	98	98
sqlite3	98	98
cctools	96	96
port_cutleaves	95	95
mtr	95	95
subversion	92	92
zsh	92	92
libtool	91	91
texlive-latex-extra	90	90
libsdl2	89	89
emacs-app	88	88
py-pip	87	87
fd	86	86
nano	86	86
bat	85	85
neovim	85	85
gzip	85	85
qemu	85	85
lzip	84	84
py312-pip	84	84
tesseract-eng	84	84
openssl3	83	83
mc	83	83
neofetch	83	83
boost	81	81
py313-pip	81	81
texinfo	81	81
texlive	80	80
pstree	80	80
python310	79	79
uv	79	79
nasm	79	79
youtube-dl	79	79
xz	78	78
zstd	78	78
tcl	78	78
python314	77	77
