port	total_count	req_count
wget	451	451
git	352	352
ffmpeg	340	340
cmake	299	299
coreutils	288	288
ImageMagick	261	261
bash	251	251
nmap	250	250
htop	250	250
yt-dlp	236	236
curl	229	229
autoconf	216	216
automake	215	215
jq	213	213
rsync	209	209
tree	184	184
gawk	182	182
go	180	180
pkgconfig	175	175
gnupg2	170	170
inetutils	166	166
exiftool	164	164
unrar	163	163
tmux	159	159
grep	159	159
pandoc	159	159
gsed	154	154
openssh	152	152
gmake	152	152
findutils	147	147
p7zip	146	146
xorg-server	143	143
dos2unix	138	138
ripgrep	135	135
vim	133	133
bash-completion	133	133
rlwrap	132	132
gh	128	128
ninja	126	126
graphviz	125	125
ghostscript	124	124
smartmontools	124	124
openssl	121	121
cargo	119	119
aspell-dict-en	117	117
lynx	117	117
gnutar	115	115
bison	111	111
watch	110	110
rust	110	110
perl5	110	110
emacs	108	108
poppler	108	108
iperf3	106	106
glib2	106	106
fzf	106	106
python313	104	104
python311	104	104
sqlite3-tcl	104	104
meson	104	104
python312	103	103
gnuplot	102	102
aspell	98	98
sqlite3	98	98
tk	96	96
neofetch	95	95
port_cutleaves	95	95
mtr	95	95
zsh	95	95
py-pip	93	93
fd	91	91
py312-pip	90	90
texlive	90	90
emacs-app	89	89
subversion	89	89
gzip	88	88
cctools	87	87
bat	87	87
texlive-latex-extra	86	86
libtool	86	86
nano	85	85
tesseract-eng	84	84
lzip	83	83
py313-pip	82	82
mc	82	82
neovim	81	81
texinfo	80	80
qemu	79	79
boost	78	78
xz	78	78
openssl3	78	78
youtube-dl	78	78
nasm	78	78
libsdl2	77	77
7zip	76	76
uv	76	76
python310	76	76
pstree	75	75
zstd	75	75
pv	74	74
