port	total_count	req_count
wget	447	447
git	361	361
ffmpeg	345	345
cmake	298	298
coreutils	287	287
ImageMagick	257	257
bash	252	252
htop	250	250
nmap	247	247
yt-dlp	239	239
curl	229	229
jq	215	215
rsync	212	212
automake	209	209
autoconf	208	208
gawk	188	188
tree	186	186
go	186	186
unrar	175	175
pkgconfig	174	174
inetutils	169	169
gnupg2	166	166
exiftool	158	158
grep	157	157
gsed	157	157
openssh	156	156
tmux	154	154
gmake	149	149
pandoc	147	147
rlwrap	146	146
findutils	145	145
xorg-server	144	144
dos2unix	142	142
p7zip	139	139
ripgrep	134	134
vim	132	132
bash-completion	128	128
openssl	128	128
graphviz	123	123
ninja	123	123
ghostscript	121	121
gh	121	121
aspell-dict-en	120	120
cargo	118	118
smartmontools	116	116
rust	114	114
gnutar	113	113
bison	113	113
sqlite3-tcl	112	112
gnuplot	111	111
perl5	110	110
emacs	110	110
lynx	109	109
poppler	109	109
iperf3	108	108
fzf	106	106
python313	106	106
glib2	102	102
python311	102	102
python312	102	102
watch	102	102
aspell	99	99
zsh	98	98
meson	98	98
emacs-app	97	97
sqlite3	96	96
subversion	94	94
mtr	94	94
tk	94	94
port_cutleaves	94	94
py312-pip	92	92
py-pip	92	92
texlive	90	90
mc	88	88
fd	87	87
libtool	87	87
cctools	86	86
texlive-latex-extra	86	86
gzip	85	85
neovim	82	82
bat	82	82
neofetch	81	81
qemu	81	81
py313-pip	81	81
texinfo	80	80
nano	80	80
openssl3	80	80
libsdl2	79	79
OpenBLAS	79	79
lzip	79	79
youtube-dl	79	79
tesseract-eng	78	78
pstree	77	77
python310	77	77
boost	77	77
7zip	76	76
tcl	76	76
pv	75	75
nasm	75	75
xz	73	73
