port	total_count	req_count
wget	426	426
git	355	355
ffmpeg	324	324
cmake	303	303
coreutils	279	279
htop	253	253
yt-dlp	243	243
nmap	240	240
bash	240	240
ImageMagick	231	231
curl	231	231
autoconf	211	211
automake	209	209
rsync	206	206
jq	201	201
go	184	184
pkgconfig	183	183
tree	182	182
gawk	178	178
gnupg2	166	166
inetutils	165	165
tmux	165	165
exiftool	159	159
openssh	157	157
unrar	154	154
grep	153	153
gsed	149	149
pandoc	146	146
xorg-server	143	143
gmake	142	142
p7zip	135	135
ripgrep	134	134
ninja	134	134
findutils	133	133
rlwrap	132	132
openssl	131	131
graphviz	129	129
vim	128	128
bash-completion	126	126
ghostscript	125	125
gh	124	124
smartmontools	124	124
dos2unix	122	122
cargo	120	120
poppler	119	119
rust	116	116
bison	114	114
aspell-dict-en	114	114
watch	112	112
lynx	109	109
glib2	109	109
fzf	106	106
perl5	105	105
meson	104	104
python311	103	103
gnutar	102	102
iperf3	102	102
tk	101	101
sqlite3	101	101
gnuplot	101	101
emacs	101	101
zsh	98	98
python314	97	97
python312	96	96
aspell	95	95
libtool	93	93
python313	93	93
neovim	92	92
mtr	92	92
port_cutleaves	90	90
subversion	88	88
cctools	88	88
bat	88	88
neofetch	87	87
nasm	87	87
fd	86	86
emacs-app	86	86
openssl3	86	86
xz	85	85
uv	85	85
libsdl2	84	84
nano	84	84
tesseract-eng	84	84
gzip	82	82
texlive-latex-extra	81	81
py-pip	81	81
tcl	81	81
texinfo	80	80
lzip	79	79
gmp	77	77
py312-pip	77	77
boost	77	77
ncurses	76	76
qemu	76	76
mc	76	76
libxml2	76	76
tesseract	76	76
readline	76	76
7zip	75	75
gcc15	74	74
