port	total_count	req_count
wget	429	429
git	348	348
ffmpeg	324	324
cmake	288	288
coreutils	283	283
htop	247	247
ImageMagick	245	245
nmap	245	245
yt-dlp	239	239
bash	238	238
curl	226	226
autoconf	207	207
jq	207	207
automake	207	207
rsync	206	206
tree	186	186
gawk	181	181
go	181	181
pkgconfig	175	175
gnupg2	169	169
inetutils	161	161
grep	160	160
unrar	158	158
tmux	157	157
exiftool	156	156
gmake	154	154
pandoc	153	153
gsed	152	152
openssh	150	150
findutils	142	142
p7zip	138	138
dos2unix	136	136
xorg-server	136	136
rlwrap	135	135
ripgrep	133	133
bash-completion	132	132
vim	129	129
graphviz	128	128
smartmontools	128	128
ninja	128	128
ghostscript	125	125
gh	124	124
cargo	120	120
openssl	118	118
aspell-dict-en	117	117
lynx	116	116
rust	116	116
poppler	115	115
glib2	114	114
bison	111	111
emacs	111	111
watch	110	110
meson	110	110
iperf3	109	109
fzf	109	109
gnutar	108	108
perl5	108	108
python311	105	105
sqlite3	101	101
gnuplot	99	99
python313	99	99
tk	97	97
zsh	96	96
aspell	96	96
python312	93	93
mtr	92	92
port_cutleaves	90	90
emacs-app	89	89
subversion	88	88
cctools	88	88
nano	87	87
libtool	87	87
fd	86	86
gzip	86	86
neovim	86	86
python314	86	86
tesseract-eng	85	85
texlive-latex-extra	85	85
py-pip	85	85
libsdl2	84	84
neofetch	83	83
bat	83	83
uv	83	83
lzip	83	83
xz	82	82
qemu	81	81
texlive	81	81
nasm	81	81
mc	80	80
zstd	79	79
util-linux	79	79
pv	78	78
tcl	78	78
openssl3	77	77
texinfo	77	77
gmp	77	77
shellcheck	76	76
youtube-dl	75	75
boost	75	75
pstree	75	75
