port	total_count	req_count
wget	427	427
git	347	347
ffmpeg	326	326
cmake	291	291
coreutils	272	272
yt-dlp	245	245
htop	242	242
nmap	235	235
bash	234	234
ImageMagick	231	231
curl	227	227
rsync	207	207
autoconf	205	205
automake	202	202
jq	201	201
go	184	184
tree	182	182
gawk	173	173
pkgconfig	169	169
inetutils	162	162
exiftool	161	161
gnupg2	161	161
tmux	155	155
unrar	149	149
pandoc	148	148
grep	148	148
openssh	147	147
gmake	145	145
xorg-server	142	142
gsed	139	139
rlwrap	136	136
findutils	135	135
p7zip	135	135
ripgrep	134	134
ninja	129	129
ghostscript	126	126
gh	125	125
openssl	125	125
dos2unix	123	123
bash-completion	123	123
graphviz	123	123
smartmontools	122	122
vim	122	122
rust	120	120
cargo	120	120
aspell-dict-en	116	116
poppler	115	115
watch	111	111
bison	111	111
glib2	109	109
meson	109	109
fzf	109	109
lynx	109	109
perl5	104	104
python311	103	103
gnutar	102	102
iperf3	101	101
sqlite3	100	100
gnuplot	100	100
tk	99	99
emacs	99	99
aspell	97	97
python312	93	93
python314	93	93
zsh	93	93
python313	92	92
mtr	88	88
subversion	87	87
port_cutleaves	87	87
texlive-latex-extra	85	85
openssl3	85	85
uv	85	85
libtool	85	85
neovim	84	84
fd	83	83
tesseract-eng	83	83
bat	83	83
cctools	82	82
emacs-app	82	82
py-pip	82	82
nasm	81	81
xz	80	80
gzip	80	80
texlive	80	80
py312-pip	80	80
libsdl2	80	80
neofetch	79	79
lzip	79	79
tcl	78	78
nano	78	78
qemu	77	77
texinfo	77	77
boost	76	76
py313-pip	74	74
mc	74	74
readline	74	74
qpdf	73	73
youtube-dl	73	73
py314-pip	73	73
libxml2	73	73
