port	total_count	req_count
wget	434	434
git	350	350
ffmpeg	331	331
cmake	296	296
coreutils	287	287
htop	249	249
nmap	245	245
bash	244	244
ImageMagick	243	243
yt-dlp	239	239
curl	226	226
autoconf	207	207
rsync	207	207
automake	203	203
jq	203	203
gawk	187	187
go	183	183
tree	180	180
pkgconfig	171	171
gnupg2	171	171
inetutils	168	168
tmux	162	162
unrar	160	160
grep	158	158
exiftool	157	157
gsed	155	155
pandoc	154	154
gmake	154	154
openssh	153	153
xorg-server	147	147
findutils	145	145
p7zip	141	141
rlwrap	138	138
dos2unix	138	138
bash-completion	132	132
ripgrep	130	130
vim	129	129
smartmontools	127	127
ghostscript	126	126
graphviz	125	125
ninja	125	125
openssl	123	123
cargo	119	119
gh	119	119
aspell-dict-en	118	118
poppler	115	115
rust	114	114
bison	113	113
watch	113	113
lynx	113	113
fzf	112	112
iperf3	112	112
gnutar	109	109
emacs	109	109
glib2	109	109
perl5	108	108
meson	104	104
python311	103	103
gnuplot	100	100
tk	99	99
sqlite3	98	98
python313	97	97
aspell	97	97
python312	95	95
port_cutleaves	94	94
zsh	93	93
mtr	93	93
nano	91	91
cctools	90	90
subversion	90	90
emacs-app	88	88
libtool	87	87
texlive-latex-extra	87	87
py-pip	86	86
libsdl2	85	85
mc	85	85
gzip	85	85
lzip	84	84
qemu	84	84
tesseract-eng	84	84
bat	83	83
neovim	83	83
python314	83	83
fd	82	82
tcl	82	82
neofetch	82	82
py312-pip	82	82
uv	82	82
texlive	80	80
boost	80	80
util-linux	79	79
nasm	78	78
texinfo	78	78
pstree	77	77
xz	77	77
youtube-dl	76	76
zstd	76	76
libxml2	75	75
pv	75	75
doxygen	75	75
