port	total_count	req_count
wget	428	428
git	351	351
ffmpeg	328	328
cmake	291	291
coreutils	283	283
htop	246	246
nmap	243	243
bash	242	242
ImageMagick	241	241
yt-dlp	235	235
curl	224	224
autoconf	208	208
rsync	206	206
automake	206	206
jq	202	202
gawk	185	185
go	184	184
tree	179	179
gnupg2	171	171
pkgconfig	170	170
inetutils	166	166
tmux	161	161
unrar	160	160
grep	160	160
pandoc	157	157
exiftool	156	156
gsed	156	156
gmake	155	155
openssh	153	153
xorg-server	145	145
findutils	144	144
p7zip	142	142
dos2unix	139	139
rlwrap	138	138
bash-completion	133	133
ripgrep	131	131
vim	128	128
ghostscript	127	127
ninja	127	127
graphviz	125	125
smartmontools	125	125
cargo	123	123
openssl	122	122
aspell-dict-en	119	119
gh	119	119
lynx	116	116
rust	116	116
poppler	116	116
bison	114	114
iperf3	112	112
glib2	111	111
fzf	111	111
watch	111	111
perl5	109	109
gnutar	109	109
emacs	108	108
meson	105	105
python311	105	105
sqlite3	100	100
python313	98	98
aspell	98	98
gnuplot	97	97
tk	97	97
python312	96	96
zsh	94	94
port_cutleaves	94	94
mtr	92	92
cctools	91	91
emacs-app	90	90
nano	90	90
subversion	90	90
libtool	89	89
py-pip	86	86
lzip	86	86
tesseract-eng	85	85
texlive-latex-extra	85	85
python314	85	85
fd	85	85
gzip	85	85
mc	84	84
libsdl2	84	84
uv	83	83
bat	83	83
neovim	83	83
qemu	82	82
tcl	81	81
util-linux	80	80
py312-pip	80	80
neofetch	80	80
nasm	79	79
texlive	79	79
xz	78	78
zstd	78	78
texinfo	78	78
youtube-dl	78	78
libxml2	77	77
boost	77	77
openssl3	76	76
pstree	76	76
doxygen	75	75
