port	total_count	req_count
wget	438	438
git	358	358
ffmpeg	350	350
cmake	292	292
coreutils	278	278
nmap	252	252
htop	250	250
ImageMagick	249	249
yt-dlp	246	246
bash	239	239
curl	221	221
jq	211	211
rsync	199	199
autoconf	196	196
automake	195	195
gawk	185	185
tree	182	182
go	176	176
unrar	173	173
pkgconfig	171	171
gnupg2	164	164
inetutils	163	163
tmux	163	163
grep	154	154
exiftool	152	152
openssh	150	150
pandoc	150	150
gsed	149	149
p7zip	143	143
rlwrap	139	139
xorg-server	139	139
findutils	139	139
gmake	136	136
dos2unix	133	133
graphviz	126	126
bash-completion	124	124
ripgrep	124	124
vim	124	124
cargo	121	121
ninja	121	121
gh	120	120
openssl	119	119
smartmontools	117	117
ghostscript	117	117
aspell-dict-en	114	114
glib2	111	111
rust	110	110
gnutar	109	109
iperf3	109	109
perl5	108	108
watch	106	106
lynx	106	106
bison	106	106
poppler	105	105
python312	105	105
emacs	104	104
fzf	103	103
python311	103	103
sqlite3-tcl	100	100
zsh	99	99
gnuplot	99	99
python313	99	99
aspell	98	98
texlive	96	96
meson	94	94
py-pip	94	94
sqlite3	93	93
tk	90	90
port_cutleaves	90	90
cctools	89	89
emacs-app	89	89
subversion	89	89
mtr	88	88
youtube-dl	87	87
mc	86	86
OpenBLAS	85	85
py312-pip	85	85
py313-pip	84	84
libtool	83	83
qemu	83	83
gzip	83	83
texlive-latex-extra	81	81
neofetch	81	81
nano	80	80
neovim	79	79
tesseract-eng	79	79
lzip	79	79
openssl3	78	78
fd	78	78
texinfo	78	78
pstree	78	78
docker	76	76
libsdl2	76	76
nasm	75	75
boost	74	74
util-linux	74	74
py311-pip	74	74
python310	73	73
xz	73	73
bat	73	73
