port	total_count	req_count
wget	444	444
git	366	366
ffmpeg	350	350
cmake	303	303
coreutils	293	293
ImageMagick	254	254
htop	254	254
bash	247	247
nmap	245	245
yt-dlp	238	238
curl	230	230
jq	215	215
automake	211	211
autoconf	209	209
rsync	207	207
gawk	191	191
tree	187	187
go	179	179
pkgconfig	179	179
unrar	170	170
gnupg2	167	167
inetutils	164	164
exiftool	161	161
tmux	160	160
gsed	158	158
grep	156	156
pandoc	153	153
openssh	150	150
gmake	149	149
xorg-server	147	147
findutils	146	146
dos2unix	146	146
rlwrap	145	145
p7zip	137	137
ripgrep	133	133
bash-completion	129	129
vim	129	129
ninja	127	127
graphviz	125	125
gh	124	124
openssl	124	124
ghostscript	123	123
aspell-dict-en	121	121
cargo	120	120
smartmontools	118	118
rust	117	117
lynx	115	115
bison	111	111
gnutar	111	111
sqlite3-tcl	110	110
python312	109	109
python313	109	109
emacs	109	109
poppler	108	108
glib2	108	108
perl5	107	107
gnuplot	107	107
iperf3	107	107
fzf	104	104
python311	104	104
watch	104	104
port_cutleaves	102	102
meson	100	100
zsh	99	99
aspell	99	99
sqlite3	98	98
tk	97	97
py-pip	96	96
subversion	95	95
emacs-app	94	94
mtr	93	93
texlive	92	92
cctools	92	92
py312-pip	91	91
libtool	90	90
gzip	89	89
py313-pip	88	88
neofetch	87	87
OpenBLAS	85	85
fd	84	84
texlive-latex-extra	83	83
lzip	83	83
mc	83	83
texinfo	81	81
qemu	81	81
libsdl2	81	81
openssl3	81	81
bat	80	80
youtube-dl	80	80
tesseract-eng	80	80
neovim	80	80
nasm	78	78
7zip	77	77
tcl	77	77
xz	77	77
nano	77	77
python310	76	76
boost	76	76
pv	76	76
pstree	76	76
