port	total_count	req_count
wget	446	446
git	359	359
ffmpeg	342	342
cmake	297	297
coreutils	285	285
ImageMagick	257	257
htop	252	252
bash	252	252
nmap	249	249
yt-dlp	238	238
curl	228	228
jq	215	215
rsync	211	211
automake	209	209
autoconf	208	208
gawk	188	188
tree	187	187
go	187	187
unrar	175	175
pkgconfig	174	174
inetutils	171	171
gnupg2	166	166
exiftool	158	158
grep	158	158
gsed	157	157
openssh	157	157
tmux	155	155
gmake	150	150
rlwrap	147	147
pandoc	147	147
findutils	146	146
xorg-server	144	144
dos2unix	142	142
p7zip	140	140
ripgrep	134	134
vim	132	132
openssl	128	128
bash-completion	128	128
graphviz	124	124
gh	122	122
ninja	122	122
ghostscript	121	121
aspell-dict-en	120	120
cargo	118	118
smartmontools	116	116
rust	115	115
bison	114	114
gnutar	113	113
sqlite3-tcl	112	112
emacs	110	110
perl5	110	110
gnuplot	109	109
poppler	109	109
lynx	109	109
python313	108	108
iperf3	108	108
fzf	106	106
watch	103	103
glib2	102	102
python311	102	102
python312	102	102
aspell	99	99
meson	99	99
zsh	98	98
emacs-app	97	97
sqlite3	96	96
port_cutleaves	95	95
tk	95	95
mtr	94	94
subversion	93	93
py312-pip	91	91
py-pip	91	91
texlive	89	89
mc	89	89
libtool	87	87
fd	87	87
cctools	86	86
gzip	85	85
texlive-latex-extra	84	84
neovim	82	82
bat	82	82
neofetch	82	82
py313-pip	81	81
libsdl2	81	81
openssl3	80	80
texinfo	80	80
qemu	80	80
nano	80	80
youtube-dl	79	79
OpenBLAS	79	79
lzip	79	79
tesseract-eng	79	79
boost	78	78
pstree	77	77
tcl	77	77
python310	76	76
7zip	75	75
pv	75	75
xz	73	73
nasm	73	73
