port	total_count	req_count
wget	430	430
git	342	342
ffmpeg	339	339
coreutils	284	284
cmake	284	284
nmap	249	249
ImageMagick	248	248
bash	245	245
htop	243	243
yt-dlp	236	236
curl	219	219
automake	210	210
autoconf	208	208
jq	207	207
rsync	203	203
gawk	183	183
tree	175	175
go	174	174
pkgconfig	170	170
inetutils	167	167
unrar	162	162
gnupg2	162	162
exiftool	159	159
grep	156	156
openssh	152	152
tmux	150	150
gsed	149	149
pandoc	147	147
findutils	145	145
gmake	144	144
xorg-server	144	144
rlwrap	138	138
p7zip	138	138
bash-completion	136	136
dos2unix	135	135
ripgrep	132	132
vim	130	130
smartmontools	128	128
graphviz	125	125
ghostscript	122	122
openssl	119	119
gh	118	118
bison	116	116
ninja	116	116
aspell-dict-en	114	114
gnutar	112	112
cargo	111	111
glib2	111	111
iperf3	111	111
lynx	109	109
poppler	109	109
watch	108	108
emacs	107	107
perl5	106	106
rust	104	104
sqlite3-tcl	104	104
fzf	103	103
python311	102	102
gnuplot	101	101
python313	100	100
python312	99	99
meson	99	99
tk	97	97
aspell	94	94
port_cutleaves	94	94
sqlite3	93	93
emacs-app	92	92
mtr	91	91
py-pip	90	90
zsh	89	89
cctools	89	89
texlive-latex-extra	87	87
subversion	87	87
neofetch	84	84
fd	84	84
tesseract-eng	84	84
libtool	83	83
qemu	83	83
gzip	83	83
boost	81	81
libsdl2	81	81
py312-pip	81	81
texlive	80	80
bat	80	80
mc	80	80
openssl3	80	80
neovim	79	79
lzip	78	78
nano	77	77
pstree	77	77
texinfo	77	77
uv	76	76
py313-pip	76	76
tcl	75	75
OpenBLAS	75	75
nasm	74	74
util-linux	74	74
youtube-dl	74	74
libxml2	74	74
zstd	74	74
