port	total_count	req_count
wget	435	435
git	353	353
ffmpeg	334	334
cmake	299	299
coreutils	283	283
htop	251	251
ImageMagick	251	251
nmap	248	248
bash	247	247
yt-dlp	245	245
curl	226	226
autoconf	209	209
jq	206	206
automake	205	205
rsync	204	204
gawk	189	189
go	185	185
tree	182	182
inetutils	172	172
gnupg2	171	171
pkgconfig	168	168
tmux	165	165
unrar	160	160
grep	159	159
exiftool	157	157
pandoc	156	156
gsed	155	155
openssh	154	154
gmake	151	151
xorg-server	146	146
findutils	145	145
p7zip	144	144
dos2unix	140	140
rlwrap	140	140
bash-completion	133	133
ripgrep	131	131
vim	128	128
smartmontools	128	128
ghostscript	127	127
graphviz	125	125
ninja	124	124
gh	122	122
openssl	120	120
cargo	120	120
aspell-dict-en	118	118
poppler	117	117
rust	115	115
watch	114	114
bison	114	114
lynx	114	114
fzf	113	113
iperf3	111	111
emacs	110	110
gnutar	109	109
glib2	108	108
perl5	108	108
meson	106	106
python311	103	103
gnuplot	101	101
python313	101	101
aspell	98	98
python312	98	98
sqlite3	97	97
tk	97	97
mtr	96	96
zsh	95	95
nano	94	94
port_cutleaves	94	94
subversion	91	91
cctools	90	90
py-pip	87	87
mc	87	87
libtool	86	86
texlive-latex-extra	86	86
neovim	86	86
emacs-app	86	86
lzip	85	85
fd	85	85
gzip	85	85
qemu	84	84
tesseract-eng	84	84
libsdl2	84	84
python314	83	83
sqlite3-tcl	83	83
bat	83	83
tcl	82	82
neofetch	82	82
py312-pip	81	81
uv	80	80
texlive	80	80
pstree	80	80
nasm	80	80
youtube-dl	79	79
texinfo	79	79
util-linux	79	79
boost	78	78
py313-pip	77	77
doxygen	76	76
zstd	76	76
xz	75	75
