port	total_count	req_count
wget	431	431
git	356	356
ffmpeg	324	324
cmake	296	296
coreutils	274	274
htop	250	250
yt-dlp	247	247
bash	240	240
nmap	238	238
curl	229	229
ImageMagick	229	229
rsync	210	210
autoconf	207	207
automake	204	204
jq	201	201
go	185	185
tree	181	181
pkgconfig	174	174
gawk	173	173
gnupg2	166	166
inetutils	165	165
tmux	163	163
exiftool	158	158
openssh	153	153
grep	152	152
pandoc	151	151
unrar	149	149
gmake	147	147
gsed	147	147
xorg-server	144	144
findutils	137	137
p7zip	136	136
rlwrap	136	136
ripgrep	133	133
ninja	130	130
openssl	128	128
gh	128	128
bash-completion	128	128
graphviz	127	127
ghostscript	125	125
vim	125	125
dos2unix	124	124
rust	120	120
cargo	120	120
smartmontools	119	119
poppler	117	117
aspell-dict-en	115	115
watch	112	112
glib2	112	112
bison	112	112
fzf	112	112
meson	108	108
lynx	107	107
emacs	104	104
python311	104	104
gnutar	103	103
perl5	102	102
gnuplot	102	102
iperf3	101	101
sqlite3	100	100
tk	100	100
zsh	97	97
aspell	97	97
python314	95	95
python313	94	94
python312	94	94
neovim	89	89
mtr	88	88
bat	88	88
subversion	88	88
port_cutleaves	88	88
fd	87	87
libtool	87	87
emacs-app	86	86
xz	85	85
uv	84	84
py-pip	84	84
texlive-latex-extra	84	84
openssl3	84	84
cctools	84	84
neofetch	83	83
libsdl2	83	83
tesseract-eng	82	82
nasm	82	82
gzip	80	80
py312-pip	80	80
texlive	79	79
texinfo	79	79
lzip	79	79
nano	79	79
qemu	78	78
boost	78	78
tcl	78	78
mc	77	77
tesseract	75	75
libxml2	74	74
py314-pip	74	74
readline	74	74
parallel	73	73
gmp	73	73
