port	total_count	req_count
wget	431	431
git	342	342
ffmpeg	341	341
coreutils	285	285
cmake	284	284
nmap	249	249
ImageMagick	249	249
htop	243	243
bash	242	242
yt-dlp	236	236
curl	220	220
automake	210	210
autoconf	208	208
jq	207	207
rsync	204	204
gawk	184	184
tree	176	176
go	174	174
pkgconfig	171	171
inetutils	167	167
gnupg2	162	162
unrar	162	162
exiftool	159	159
grep	156	156
openssh	152	152
tmux	150	150
gsed	149	149
pandoc	147	147
findutils	145	145
gmake	145	145
xorg-server	144	144
p7zip	139	139
rlwrap	138	138
dos2unix	135	135
bash-completion	135	135
ripgrep	132	132
vim	130	130
smartmontools	128	128
graphviz	125	125
ghostscript	124	124
openssl	120	120
gh	118	118
ninja	117	117
bison	116	116
aspell-dict-en	114	114
gnutar	112	112
cargo	111	111
glib2	111	111
iperf3	111	111
poppler	110	110
lynx	109	109
watch	108	108
emacs	107	107
perl5	106	106
sqlite3-tcl	104	104
python311	103	103
rust	103	103
fzf	103	103
python313	101	101
gnuplot	101	101
meson	99	99
python312	98	98
tk	97	97
port_cutleaves	94	94
sqlite3	94	94
aspell	94	94
emacs-app	93	93
mtr	91	91
py-pip	90	90
zsh	89	89
cctools	89	89
subversion	88	88
texlive-latex-extra	87	87
neofetch	85	85
tesseract-eng	84	84
fd	84	84
libtool	84	84
qemu	83	83
gzip	83	83
py312-pip	81	81
libsdl2	81	81
boost	81	81
openssl3	81	81
mc	80	80
bat	80	80
texlive	80	80
neovim	79	79
lzip	78	78
pstree	77	77
nano	77	77
texinfo	76	76
py313-pip	76	76
uv	76	76
OpenBLAS	75	75
libxml2	75	75
tcl	75	75
youtube-dl	74	74
nasm	74	74
xz	73	73
zstd	73	73
