port	total_count	req_count
wget	431	431
git	351	351
ffmpeg	345	345
cmake	294	294
coreutils	284	284
htop	251	251
ImageMagick	250	250
nmap	248	248
bash	245	245
yt-dlp	242	242
curl	220	220
jq	213	213
rsync	204	204
autoconf	201	201
automake	199	199
gawk	186	186
tree	185	185
go	173	173
pkgconfig	171	171
unrar	170	170
tmux	162	162
inetutils	161	161
gnupg2	161	161
exiftool	157	157
gsed	153	153
grep	152	152
pandoc	152	152
openssh	149	149
p7zip	143	143
xorg-server	142	142
findutils	141	141
dos2unix	136	136
rlwrap	136	136
gmake	136	136
bash-completion	127	127
ripgrep	125	125
vim	124	124
graphviz	123	123
ninja	120	120
gh	118	118
openssl	116	116
cargo	115	115
ghostscript	115	115
smartmontools	114	114
aspell-dict-en	114	114
glib2	112	112
lynx	109	109
python312	107	107
iperf3	107	107
rust	107	107
watch	107	107
gnutar	106	106
bison	106	106
perl5	104	104
emacs	102	102
fzf	101	101
sqlite3-tcl	101	101
poppler	101	101
python311	100	100
gnuplot	99	99
python313	99	99
zsh	98	98
py-pip	95	95
aspell	95	95
port_cutleaves	94	94
meson	93	93
sqlite3	93	93
texlive	92	92
emacs-app	91	91
tk	90	90
subversion	89	89
cctools	88	88
qemu	86	86
py312-pip	86	86
mtr	85	85
neofetch	85	85
libtool	85	85
gzip	84	84
youtube-dl	83	83
OpenBLAS	83	83
mc	83	83
py313-pip	82	82
neovim	80	80
texlive-latex-extra	80	80
fd	79	79
lzip	79	79
nano	78	78
openssl3	78	78
tesseract-eng	78	78
libsdl2	77	77
texinfo	77	77
pstree	77	77
docker	76	76
boost	75	75
pv	74	74
xz	74	74
nasm	74	74
bat	74	74
util-linux	73	73
py311-pip	72	72
